column,missing_count,missing_pct,non_null_count
kenpom_miscellaneous_team_stats__dfp,8208,88.6106,1055
kenpom_summary_pre_tournament__seed,7661,82.7054,1602
kenpom_miscellaneous_team_stats__nstrate,7106,76.7138,2157
kenpom_miscellaneous_team_stats__oppnstrate,7106,76.7138,2157
kenpom_miscellaneous_team_stats__ranknstrate,7106,76.7138,2157
kenpom_miscellaneous_team_stats__rankoppnstrate,7106,76.7138,2157
kenpom_efficiency__avg_possession_length_defense,3614,39.0154,5649
kenpom_efficiency__avg_possession_length_defense_rank,3614,39.0154,5649
kenpom_efficiency__avg_possession_length_offense,3614,39.0154,5649
kenpom_efficiency__avg_possession_length_offense_rank,3614,39.0154,5649
ncaa_summary__l_1,2757,29.7636,6506
ncaa_summary__w_1,2757,29.7636,6506
ncaa_summary__sos,2750,29.688,6513
ncaa_summary__srs,2750,29.688,6513
ncaa_summary__mp,2734,29.5153,6529
ncaa_summary__orb,2708,29.2346,6555
ncaa_summary__l_2,2702,29.1698,6561
ncaa_summary__w_2,2702,29.1698,6561
ncaa_summary__l_3,2700,29.1482,6563
ncaa_summary__w_3,2700,29.1482,6563
ncaa_summary__3p,2699,29.1374,6564
ncaa_summary__3p__2,2699,29.1374,6564
ncaa_summary__3pa,2699,29.1374,6564
ncaa_summary__ast,2699,29.1374,6564
ncaa_summary__blk,2699,29.1374,6564
ncaa_summary__fg,2699,29.1374,6564
ncaa_summary__fg__2,2699,29.1374,6564
ncaa_summary__fga,2699,29.1374,6564
ncaa_summary__ft,2699,29.1374,6564
ncaa_summary__ft__2,2699,29.1374,6564
ncaa_summary__fta,2699,29.1374,6564
ncaa_summary__g,2699,29.1374,6564
ncaa_summary__l,2699,29.1374,6564
ncaa_summary__opp,2699,29.1374,6564
ncaa_summary__pf,2699,29.1374,6564
ncaa_summary__rk,2699,29.1374,6564
ncaa_summary__stl,2699,29.1374,6564
ncaa_summary__tm,2699,29.1374,6564
ncaa_summary__tov,2699,29.1374,6564
ncaa_summary__trb,2699,29.1374,6564
ncaa_summary__w,2699,29.1374,6564
ncaa_summary__w_l,2699,29.1374,6564
kenpom_height__avgheight,2593,27.9931,6670
kenpom_height__bench,2593,27.9931,6670
kenpom_height__benchrank,2593,27.9931,6670
kenpom_height__centerdr,2593,27.9931,6670
kenpom_height__centerheight,2593,27.9931,6670
kenpom_height__centeror,2593,27.9931,6670
kenpom_height__centerpts,2593,27.9931,6670
kenpom_height__effectiveheight,2593,27.9931,6670
kenpom_height__experience,2593,27.9931,6670
kenpom_height__pfdr,2593,27.9931,6670
kenpom_height__pfheight,2593,27.9931,6670
kenpom_height__pfor,2593,27.9931,6670
kenpom_height__pfpts,2593,27.9931,6670
kenpom_height__pgdr,2593,27.9931,6670
kenpom_height__pgheight,2593,27.9931,6670
kenpom_height__pgor,2593,27.9931,6670
kenpom_height__pgpts,2593,27.9931,6670
kenpom_height__rankavgheight,2593,27.9931,6670
kenpom_height__rankcenterdr,2593,27.9931,6670
kenpom_height__rankcenterheight,2593,27.9931,6670
kenpom_height__rankcenteror,2593,27.9931,6670
kenpom_height__rankcenterpts,2593,27.9931,6670
kenpom_height__rankeffectiveheight,2593,27.9931,6670
kenpom_height__rankexperience,2593,27.9931,6670
kenpom_height__rankpfdr,2593,27.9931,6670
kenpom_height__rankpfheight,2593,27.9931,6670
kenpom_height__rankpfor,2593,27.9931,6670
kenpom_height__rankpfpts,2593,27.9931,6670
kenpom_height__rankpgdr,2593,27.9931,6670
kenpom_height__rankpgheight,2593,27.9931,6670
kenpom_height__rankpgor,2593,27.9931,6670
kenpom_height__rankpgpts,2593,27.9931,6670
kenpom_height__ranksfdr,2593,27.9931,6670
kenpom_height__ranksfheight,2593,27.9931,6670
kenpom_height__ranksfor,2593,27.9931,6670
kenpom_height__ranksfpts,2593,27.9931,6670
kenpom_height__ranksgdr,2593,27.9931,6670
kenpom_height__ranksgheight,2593,27.9931,6670
kenpom_height__ranksgor,2593,27.9931,6670
kenpom_height__ranksgpts,2593,27.9931,6670
kenpom_height__sfdr,2593,27.9931,6670
kenpom_height__sfheight,2593,27.9931,6670
kenpom_height__sfor,2593,27.9931,6670
kenpom_height__sfpts,2593,27.9931,6670
kenpom_height__sgdr,2593,27.9931,6670
kenpom_height__sgheight,2593,27.9931,6670
kenpom_height__sgor,2593,27.9931,6670
kenpom_height__sgpts,2593,27.9931,6670
kenpom_summary_pre_tournament__adjde,983,10.6121,8280
kenpom_summary_pre_tournament__adjem,983,10.6121,8280
kenpom_summary_pre_tournament__adjoe,983,10.6121,8280
kenpom_summary_pre_tournament__adjtempo,983,10.6121,8280
kenpom_summary_pre_tournament__de,983,10.6121,8280
kenpom_summary_pre_tournament__oe,983,10.6121,8280
kenpom_summary_pre_tournament__rankadjde,983,10.6121,8280
kenpom_summary_pre_tournament__rankadjem,983,10.6121,8280
kenpom_summary_pre_tournament__rankadjoe,983,10.6121,8280
kenpom_summary_pre_tournament__rankadjtempo,983,10.6121,8280
kenpom_summary_pre_tournament__rankde,983,10.6121,8280
kenpom_summary_pre_tournament__rankoe,983,10.6121,8280
kenpom_summary_pre_tournament__ranktempo,983,10.6121,8280
kenpom_summary_pre_tournament__tempo,983,10.6121,8280
kenpom_miscellaneous_team_stats__arate,949,10.2451,8314
kenpom_miscellaneous_team_stats__blockpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__fg2pct,949,10.2451,8314
kenpom_miscellaneous_team_stats__fg3pct,949,10.2451,8314
kenpom_miscellaneous_team_stats__fg3rate,949,10.2451,8314
kenpom_miscellaneous_team_stats__ftpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__opparate,949,10.2451,8314
kenpom_miscellaneous_team_stats__oppblockpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__oppfg2pct,949,10.2451,8314
kenpom_miscellaneous_team_stats__oppfg3pct,949,10.2451,8314
kenpom_miscellaneous_team_stats__oppfg3rate,949,10.2451,8314
kenpom_miscellaneous_team_stats__oppftpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__oppstlrate,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankarate,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankblockpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankfg2pct,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankfg3pct,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankfg3rate,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankftpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankopparate,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankoppblockpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankoppfg2pct,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankoppfg3pct,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankoppfg3rate,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankoppftpct,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankoppstlrate,949,10.2451,8314
kenpom_miscellaneous_team_stats__rankstlrate,949,10.2451,8314
kenpom_miscellaneous_team_stats__stlrate,949,10.2451,8314
kenpom_defense__efgpct,1,0.0108,9262
kenpom_defense__ftrate,1,0.0108,9262
kenpom_defense__orpct,1,0.0108,9262
kenpom_defense__rankefgpct,1,0.0108,9262
kenpom_defense__rankftrate,1,0.0108,9262
kenpom_defense__rankorpct,1,0.0108,9262
kenpom_defense__ranktopct,1,0.0108,9262
kenpom_defense__topct,1,0.0108,9262
kenpom_efficiency__adjusted_defensive_efficiency,1,0.0108,9262
kenpom_efficiency__adjusted_defensive_efficiency_rank,1,0.0108,9262
kenpom_efficiency__adjusted_offensive_efficiency,1,0.0108,9262
kenpom_efficiency__adjusted_offensive_efficiency_rank,1,0.0108,9262
kenpom_efficiency__adjusted_temo,1,0.0108,9262
kenpom_efficiency__adjusted_tempo_rank,1,0.0108,9262
kenpom_efficiency__conference,1,0.0108,9262
kenpom_efficiency__raw_defensive_efficiency,1,0.0108,9262
kenpom_efficiency__raw_defensive_efficiency_rank,1,0.0108,9262
kenpom_efficiency__raw_offensive_efficiency,1,0.0108,9262
kenpom_efficiency__raw_offensive_efficiency_rank,1,0.0108,9262
kenpom_efficiency__raw_tempo,1,0.0108,9262
kenpom_efficiency__raw_tempo_rank,1,0.0108,9262
kenpom_offense__efgpct,1,0.0108,9262
kenpom_offense__ftrate,1,0.0108,9262
kenpom_offense__orpct,1,0.0108,9262
kenpom_offense__rankefgpct,1,0.0108,9262
kenpom_offense__rankftrate,1,0.0108,9262
kenpom_offense__rankorpct,1,0.0108,9262
kenpom_offense__ranktopct,1,0.0108,9262
kenpom_offense__topct,1,0.0108,9262
kenpom_point_distribution__def2ptfg,1,0.0108,9262
kenpom_point_distribution__def3ptfg,1,0.0108,9262
kenpom_point_distribution__defft,1,0.0108,9262
kenpom_point_distribution__off2ptfg,1,0.0108,9262
kenpom_point_distribution__off3ptfg,1,0.0108,9262
kenpom_point_distribution__offft,1,0.0108,9262
kenpom_point_distribution__rankdef2ptfg,1,0.0108,9262
kenpom_point_distribution__rankdef3ptfg,1,0.0108,9262
kenpom_point_distribution__rankdefft,1,0.0108,9262
kenpom_point_distribution__rankoff2ptfg,1,0.0108,9262
kenpom_point_distribution__rankoff3ptfg,1,0.0108,9262
kenpom_point_distribution__rankoffft,1,0.0108,9262
Season,0,0.0,9263
TeamName_std,0,0.0,9263
team_season_key,0,0.0,9263
