Season,Slot,TeamAID,TeamBID,TeamA_seed_num,TeamB_seed_num,seed_gap,delta_kp_adjde,delta_kp_adjem,delta_kp_adjoe,delta_kp_de,delta_kp_oe,delta_kp_rankadjde,delta_kp_rankadjoe,delta_kp_rankde,delta_kp_rankoe,delta_kp_tempo,delta_lms_consistency,delta_lms_margin_vs_weak_surplus,delta_lms_residual_std,delta_lms_slope,delta_rs_ast,delta_rs_ast_to_ratio,delta_rs_avg_margin,delta_rs_avg_pts_against,delta_rs_avg_pts_for,delta_rs_blk,delta_rs_dr_pct,delta_rs_drb,delta_rs_efg_pct,delta_rs_fg2_pct,delta_rs_fg3_pct,delta_rs_fg_pct,delta_rs_fga,delta_rs_fgm,delta_rs_fgm3,delta_rs_ft_pct,delta_rs_ft_rate,delta_rs_games,delta_rs_margin_std,delta_rs_opp_ast,delta_rs_opp_blk,delta_rs_opp_dr,delta_rs_opp_efg_pct,delta_rs_opp_fg2_pct,delta_rs_opp_fg3_pct,delta_rs_opp_fg_pct,delta_rs_opp_fga,delta_rs_opp_fgm,delta_rs_opp_fgm3,delta_rs_opp_ft_pct,delta_rs_opp_ft_rate,delta_rs_opp_fta,delta_rs_opp_or,delta_rs_opp_stl,delta_rs_opp_to,delta_rs_or_pct,delta_rs_orb,delta_rs_pf,delta_rs_stl,delta_rs_to,delta_rs_to_rate,delta_rs_win_pct,delta_tourney_seed_num
2026,R1W1,1181,1373,1.0,16.0,15.0,-20.10000000000001,41.0,20.900000000000006,-7.5,12.799999999999997,-173,-206,-41,-139,2.799999999999997,-0.018692297868019736,5.0242968377562365,3.712973717316247,-16.683826507151572,3.8776418242491637,0.15733672603901594,15.989988876529477,-3.9688542825361495,12.021134593993324,0.21690767519466014,0.05917146421753572,4.954393770856502,0.06575079143829554,0.07363710627715492,0.05347437452275078,0.035437240857445595,2.444938820912121,3.1824249165739715,3.741935483870968,-0.032675497399045406,0.04556058292544429,-2,4.597272603943216,0.17797552836485053,-1.2347052280311455,-1.101223581757509,-0.039907631890039874,-0.035448531910999614,-0.030187543877243983,-0.04349744120506216,2.483870967741936,-1.4505005561735267,0.7397107897664075,-0.011401722455559815,-0.0517161924357504,-2.2981090100111263,-0.9043381535038932,0.548387096774194,0.5739710789766406,0.052707079194231066,1.7296996662958843,1.6596218020022242,1.382647385984427,1.4794215795328132,0.010841506822527186,0.28587319243604015,-15.0
2026,R1W2,1163,1202,2.0,15.0,13.0,-15.300000000000011,29.799999999999997,14.5,-9.5,4.599999999999994,-170,-170,-130,-58,-0.4000000000000057,-0.14592175303974098,4.109523809523811,2.1662486200085063,-11.418159821499199,3.454761904761904,0.513323018738181,11.247619047619047,-6.976190476190467,4.271428571428572,1.5428571428571436,0.00336684411984689,-1.6380952380952394,0.01764852188743604,-0.02585447449121836,0.042390151515151575,0.02022065093803299,1.490476190476187,1.8833333333333329,-0.07619047619047592,0.02190842035023166,-0.0035158470722000956,2,2.6417550815405892,-2.069047619047618,0.480952380952381,-1.0166666666666693,-0.04205480346884283,-0.05071090047393356,-0.019088047590170076,-0.028267437712073906,-6.219047619047615,-4.195238095238096,-2.352380952380953,0.019577769758210017,0.11861857873915987,4.733333333333331,-0.7357142857142858,-1.8642857142857148,2.578571428571429,0.027431140162644585,0.7119047619047603,2.7785714285714302,2.6761904761904765,-0.7928571428571427,-0.011879026335726198,0.3285714285714286,-13.0
2026,R1W3,1277,1295,3.0,14.0,11.0,-11.899999999999991,23.200000000000003,11.299999999999997,-1.1999999999999886,2.6000000000000085,-111,-100,-14,-25,-1.2000000000000028,0.0267138272350822,0.8147025388404705,0.2950926540471137,-2.640037166885346,3.3091133004926103,0.3263531221884659,4.322660098522166,-5.690886699507402,-1.3682266009852242,0.41871921182266014,0.0416924516625663,3.5972906403940925,-0.0023157078240706452,0.0002568603108008549,-0.003933521117024941,0.008469344194559136,-3.121921182266007,-0.9421182266009858,-1.7401477832512304,0.03361621876473353,0.05303207318719372,1,0.13876096041511765,-1.137931034482758,-1.2684729064039408,-2.9630541871921174,-0.04990571776155722,-0.05819877146007235,-0.025853932225843812,-0.04975669099756691,-0.4532019704433523,-3.024630541871918,-0.08374384236453203,-0.0019104084321476256,0.01359489051094892,0.6403940886699537,-0.6613300492610836,0.17487684729064057,-2.007389162561573,0.04991292197403868,0.8152709359605907,0.8891625615763541,-1.681034482758621,0.08004926108374377,0.004336564639443305,0.07758620689655171,-11.0
2026,R1W4,1242,1465,4.0,13.0,9.0,-8.0,18.4,10.399999999999991,1.7000000000000028,2.799999999999997,-40,-134,12,-66,0.7999999999999972,-0.39718024163443,6.975369458128079,0.5704738590400602,-86.81686886881445,4.137931034482758,0.6037112493805405,3.3103448275862073,0.6551724137930961,3.9655172413793025,2.4827586206896557,-0.01436370726634606,2.931034482758619,0.051899538860139316,0.05517383688693983,0.029355601448624757,0.041141097801510595,-1.103448275862064,1.9310344827586228,1.137931034482759,0.05076436127545103,-0.04042086743775297,0,4.244751667894539,0.9655172413793096,-1.137931034482759,1.1724137931034484,-0.01228904346805193,-0.016278463932882237,-0.0007815684112105203,-0.02817058495494712,6.310344827586206,0.8275862068965516,2.6206896551724137,-0.053586785884922605,-0.0942248050639351,-3.7241379310344804,1.7586206896551726,-0.7241379310344831,-1.6206896551724128,-0.0982670163037282,-4.103448275862069,-4.344827586206897,0.3103448275862073,-1.1034482758620694,-0.008959907601958986,0.0,-9.0
2026,R1W5,1385,1320,5.0,12.0,7.0,-4.0,14.099999999999998,10.099999999999994,1.5,6.200000000000003,-12,-109,10,-114,7.600000000000001,0.05696139914264553,2.4651888341543495,3.9145853231996934,-10.97473860949681,2.0390804597701155,-0.041742986599826226,5.491954022988506,8.759770114942526,14.251724137931035,1.3954022988505743,-0.02204195578811663,1.3632183908045974,-0.021472057493520436,-0.035801497447074726,0.0008675799086758085,-0.010827582160336802,6.762068965517237,2.4678160919540275,-0.3965517241379306,0.03253562952746625,0.17805469734768253,-1,4.05272655398268,1.2011494252873565,0.325287356321839,-2.105747126436782,0.003252735729266376,-0.03330266098289231,0.03745715865118848,0.006841463240644385,6.028735632183903,2.906896551724138,0.2908045977011495,0.011845493562231746,0.0282753848568289,3.432183908045978,1.3885057471264366,1.0356321839080458,2.4827586206896566,0.14847220989735851,5.536781609195403,2.451724137931036,1.8712643678160923,1.463218390804597,-0.0025210309754425952,0.19310344827586212,-7.0
2026,R1W6,1257,1378,6.0,11.0,5.0,-2.3000000000000114,9.100000000000001,6.799999999999997,-0.10000000000000853,2.0,-15,-42,-3,-19,-1.9000000000000057,-0.08443678841784752,12.784103827207277,4.994175072107932,-43.43680918355666,0.4901477832512313,0.14588508031130987,3.902709359605911,-5.401477832512313,-1.4987684729063915,-0.022167487684729537,0.03732406427887769,1.5135467980295552,0.05633286256993009,0.07768253580302953,0.02812472455968429,0.03329556278122631,-3.812807881773402,0.39285714285714235,2.2931034482758594,0.030009338962065146,-0.08702280465508372,1,7.7102615334777305,-1.2536945812807883,-2.1761083743842358,-0.8509852216748754,-0.006574919278120095,0.01482425249896091,-0.026252224764810594,-0.0016915530045424898,-1.8903940886699502,-0.8953201970443345,-0.848522167487685,0.011011051164283359,-0.05855120097271782,-4.254926108374381,-1.2315270935960587,-0.73768472906404,-0.6761083743842384,-0.030235095574008053,-1.981527093596057,-1.3435960591133025,-1.1908866995073888,-0.651477832512315,0.003379729485642996,-0.024630541871921152,-5.0
2026,R1W7,1417,1416,7.0,10.0,3.0,-3.3000000000000114,6.500000000000002,3.200000000000003,-3.0999999999999943,3.5,-48,-18,-91,-34,-4.8999999999999915,0.0709366758775406,6.1834975369458105,2.1489099259861675,-8.984671799095942,-0.5344827586206904,0.32185387833923373,1.7450738916256157,-6.09482758620689,-4.349753694581281,-0.18472906403940836,-0.03984106529209619,-2.199507389162566,-0.010373661307729987,-0.011745106339310918,-0.0054207537429014074,-0.009821525718908264,-3.9790640394088683,-2.4778325123152705,-0.5997536945812803,0.01437703413168645,0.041207764499641475,1,1.6559351747465314,0.2943349753694591,-0.7857142857142856,-0.09605911330048755,-0.018914801998211606,-0.0061946161448647175,-0.020317397998932674,-0.022918885633176955,-3.8546798029556655,-3.0480295566502456,-0.07019704433497598,0.01538856672504807,0.017563902552566457,-0.31403940886699644,0.8140394088669982,-0.5024630541871922,0.5591133004926103,-0.04193495669226999,-1.8719211822660107,0.20566502463054448,0.37438423645320196,-1.9729064039408861,-0.0170912545400273,-0.059113300492610876,-3.0
2026,R1W8,1326,1395,8.0,9.0,1.0,4.299999999999997,4.599999999999998,8.899999999999991,6.299999999999997,7.3999999999999915,32,-64,127,-90,-3.1000000000000085,0.07317887587763489,-1.7982190223569514,0.9102189797753795,-0.15340827522086897,-1.5862068965517189,0.15646503921647237,0.0344827586206895,1.3103448275862064,1.3448275862068897,-1.931034482758621,-0.02961042463469654,0.24137931034482207,0.04705167173252278,0.06202362674660711,0.016934966115800698,0.03950151975683891,-3.62068965517242,0.6206896551724128,0.4137931034482758,0.06624119003540219,-0.017884498480243205,0,-0.17547819931680486,-2.793103448275861,-0.9655172413793096,-1.6896551724137936,-0.011535444896869473,0.01075745253652638,-0.029507521120956004,-0.010644038003693568,0.551724137931032,-0.37931034482759074,-0.0344827586206895,0.02998098635392299,0.033520236744320586,2.137931034482758,1.3793103448275872,-1.0,-2.8965517241379324,-0.03662997672123819,-2.2758620689655187,1.448275862068968,-2.0344827586206895,-1.931034482758621,-0.014451149969228791,-0.03448275862068961,-1.0
2026,R1X2,1222,1225,2.0,15.0,13.0,-15.899999999999991,32.0,16.10000000000001,-10.299999999999997,8.099999999999994,-131,-162,-126,-99,-4.299999999999997,-0.19541696919110535,2.0235779546124366,0.4333637241732635,-32.7512846183009,3.143039591315455,0.7223025919228454,14.130268199233717,-13.057471264367805,1.0727969348659059,-0.00893997445721606,-0.04514586721149705,-1.841634738186464,0.0010189803269603503,0.013788946323876505,-0.009739869752090402,0.01435023552230541,2.661558109833976,2.0472541507024253,-1.2068965517241388,0.04177521048061328,-0.06977556109725697,2,2.4847208987616103,-0.5389527458492989,-0.2962962962962967,-3.2605363984674334,-0.04570906737651609,-0.0322158958532508,-0.047398011007960594,-0.046007683283108336,-5.236270753512123,-4.725415070242658,-0.6436781609195403,-0.07312277926970567,0.0027062066534921936,-1.9348659003831479,1.2120051085568324,-0.9680715197956582,2.500638569604087,0.0897842510901532,2.6717752234993597,-0.6819923371647505,2.6704980842911876,-1.5363984674329512,-0.0194672465296475,0.3461047254150703,-13.0
2026,R1X3,1228,1335,3.0,14.0,11.0,-6.800000000000011,30.6,23.799999999999983,-2.0,18.099999999999994,-83,-202,-34,-198,-2.5999999999999943,-0.04486578863754692,4.830082101806239,4.585416390301516,-31.582090241306922,1.1641379310344817,0.4123435014179979,14.788965517241381,-4.408275862068962,10.380689655172418,0.693793103448276,0.022594072594072534,3.1572413793103458,0.05159964351321367,0.11137079962718693,-0.02716168434586952,0.026772885178516115,2.615172413793104,2.7917241379310376,3.4068965517241407,0.10530813495966962,-0.03411178407086085,4,6.470880807865658,-0.7627586206896559,-2.179310344827586,-4.708965517241381,-0.04351759158505625,-0.07574690878487744,0.003879535899240394,-0.047227421109902135,3.379310344827587,-1.44551724137931,0.8937931034482762,0.05395715867253681,-0.08783605368153793,-4.602758620689658,0.16000000000000014,-0.3186206896551722,-2.3503448275862064,0.1015103715904967,2.526896551724141,-3.838620689655171,-1.132413793103448,-1.5875862068965514,-0.020951975279400695,0.19862068965517232,-11.0
2026,R1X4,1304,1407,4.0,13.0,9.0,-16.599999999999994,24.400000000000002,7.799999999999997,-8.600000000000009,1.5999999999999943,-159,-86,-107,-28,0.29999999999999716,-0.34549052490488164,4.147404319818115,-1.588136613833706,-29.787957994457585,3.068965517241379,0.6144989878542506,9.89655172413793,-9.655172413793096,0.24137931034483984,-0.2068965517241379,0.05138272770174612,1.6551724137931103,0.0420601474007023,0.054801385236167954,0.02118604710074562,0.029270415986545895,-1.1379310344827545,1.2413793103448256,1.3448275862068968,0.03250457810959295,-0.08716624622842167,0,-0.11085629407046049,0.5172413793103452,0.2758620689655178,1.2068965517241423,-0.03440428092639736,-0.021621656203084483,-0.026144258750845584,-0.04525695559921622,-2.448275862068961,-3.7241379310344804,0.9655172413793105,0.023427396624332686,-0.07218928278238734,-4.9999999999999964,-1.7586206896551726,-1.4137931034482758,-0.3793103448275854,-0.07135131288692809,-2.6896551724137927,-2.206896551724137,-0.8620689655172411,-1.413793103448274,-0.010561627327282011,0.2413793103448275,-9.0
2026,R1X5,1435,1270,5.0,12.0,7.0,-2.5,15.0,12.5,6.1000000000000085,6.400000000000006,-18,-84,82,-55,4.299999999999997,0.07680025463983736,-0.8930466085638518,1.3473959418530743,5.076467369370576,3.5849753694581263,0.7503134796238247,2.6293103448275836,7.588669950738918,10.217980295566505,0.7118226600985222,0.05441957734452085,3.5061576354679787,0.04846910477807753,0.0498309668695065,0.03993437243642317,0.024483025431040417,2.842364532019708,2.801724137931039,3.259852216748768,0.03923240938166317,-0.007953191547636962,1,0.6123883981250273,-1.4667487684729057,-1.9679802955665018,1.3977832512315231,-0.009763585959043308,-0.00019598370713819202,-0.016399755362765334,0.005940599725472562,6.316502463054192,2.979064039408861,-0.8596059113300498,0.033532353757627864,-0.005712916931342793,2.318965517241381,-0.9470443349753683,0.06403940886699466,-0.6564039408867028,-0.054630635030314956,-1.8115763546798043,0.2672413793103452,-0.42733990147783185,-1.8214285714285712,-0.024916116693193685,-0.06280788177339902,-7.0
2026,R1X6,1314,1433,6.0,11.0,5.0,-2.200000000000003,3.6999999999999993,1.5,0.7999999999999972,-2.0999999999999943,-23,-14,11,14,-0.6000000000000085,-0.1569945461944022,5.045850701023118,-0.19660629584269884,-40.864306082741436,1.5862068965517242,0.4986752761651052,-0.7931034482758612,-1.655172413793096,-2.4482758620689538,-0.8275862068965507,0.020772293671748487,2.0,0.0037205356477558738,0.03320814977856612,-0.024747474747474685,0.014185888009997039,0.8620689655172455,1.2413793103448256,-1.1034482758620676,-0.056130619221027245,-0.064054737846649,0,2.885983833479342,0.1724137931034484,-0.2758620689655169,0.275862068965516,-0.009596157104021896,-0.021645410861615588,0.006015325670498117,-0.015885827737818048,3.9310344827586263,0.6896551724138007,1.2413793103448274,-0.016396511348051424,-0.10990631832769429,-5.586206896551722,-0.2413793103448274,-0.8965517241379306,-2.0689655172413772,-0.026478381472458734,-1.0689655172413772,-3.068965517241379,-2.0,-1.7241379310344822,-0.018371066074662698,0.034482758620689724,-5.0
2026,R1X7,1388,1401,7.0,10.0,3.0,-3.799999999999997,4.400000000000002,0.5999999999999943,-9.400000000000006,-0.8999999999999915,-22,-6,-139,7,-6.199999999999989,0.3769107248178747,-8.84072249589491,-0.34729345462321426,46.99188727625562,-3.2563218390804636,-0.3206362975341559,3.69310344827586,-13.928735632183901,-10.235632183908052,-0.2655172413793112,0.0995123961967107,2.547126436781614,-0.01794480627432571,-0.048645390417542234,0.023859684323167485,-0.003386392402410676,-6.608045977011493,-3.2597701149425298,-2.7954022988505756,0.06316655694535878,-0.009634516118116387,1,-6.552384717314814,-2.504597701149425,-0.12758620689655142,-4.416091954022988,-0.043380550520851324,-0.0606032028931589,-0.012937976978538601,-0.03344582850707223,-3.3862068965517196,-3.4367816091953998,-1.605747126436782,-0.02360312178255053,-0.09499877499554249,-6.725287356321839,-3.617241379310343,-1.1816091954022987,-3.7344827586206897,0.06218156330336927,0.759770114942528,-3.9482758620689644,-1.979310344827586,-0.11839080459770024,0.010422998852589502,0.21149425287356327,-3.0
2026,R1X8,1155,1234,8.0,9.0,1.0,-2.0,-3.1999999999999993,-5.200000000000003,-2.8000000000000114,-5.900000000000006,-10,40,-37,64,2.1000000000000014,-0.21270396457293642,2.9994316028798806,-5.8286414824826025,-3.7335728392015923,-2.206896551724139,-0.2896593428744205,-1.862068965517242,0.8965517241379359,-0.9655172413793167,0.10344827586206895,0.022152748696769642,4.482758620689655,-0.03514058136582898,-0.04223776256824496,-0.015213872105581006,-0.03571337903021066,1.9310344827586121,-1.034482758620694,0.3448275862068968,-0.0499338594848473,0.029928281289667458,0,-2.9003709301272647,-0.8620689655172438,0.5517241379310347,2.5862068965517295,-0.03926178066163177,-0.043683575703784616,-0.02027695351137493,-0.04125802219622032,5.241379310344833,0.137931034482758,0.8965517241379306,0.015481849046748541,-0.050774740275857266,-0.7586206896551708,0.6551724137931041,0.6206896551724137,-1.4827586206896584,-0.019545871670409887,0.2413793103448274,-1.4482758620689644,-0.3448275862068968,0.137931034482758,-0.0031196592393461925,0.03448275862068961,-1.0
